Address1,Address2,propertyID,listingID,propertyType,price,leasePrice,buildingType,neighbourhood,bathrooms,bedrooms,communityFeatures,nearbyAmenities,storeys,walkscore,transitscore,machineryIncluded,rentalEquipment,parkingType,majorBusinessType,minorBusinessType,totalUnits,landSize,zoningType,interiorFloorSpace,exteriorBuildingSize,franchise,buildingAmenities,buildingStyle,basementDevelopment,notificationUpdate,anchor,retailStorefront,clearCeilingHeight,hasphoto,photos,multimediaFeatures,listingVideoType,city,province,soldData,hasAlternateFeatureSheet,hasOpenHouse,hasVirtualOpenHouse,hasCMHCFTHBBanner,hasTDpreApprovalIcon,hasActiveVirtualOpenHouse,Property Type,Building Type,Community Name,Title,Annual Property Taxes,Parking Type,Time on REALTOR.ca,Above Grade,Total,Features,Building Amenities,Cooling,Heating Type,Exterior Finish,Pool Type,Community Features,Amenities Nearby,Maintenance Fees,Maintenance Management Company,Total Parking Spaces,rooms_info
#1407 -5444 YONGE ST,"Toronto, Ontario M2N6J4",23762142,C5411047,SingleFamily,1499999.0,,Apartment,,2,2.0,,,,,,,,Underground,,,,,,,,,"Security/Concierge,ExerciseCentre",,,no,,,,yes,33,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Willowdale West,Condominium/Strata,"$3,623 (CAD)",Underground,30 days,2.0,2,Balcony,"Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,"Indoor pool, Outdoor pool",,,"$1,528 (CAD) Monthly",Del Property Management,4.0,"{'Main level': {'Living room': '7.3 m x 3.95 m', 'Dining room': '3.5 m x 6.75 m', 'Kitchen': '4.5 m x 3.15 m', 'Eating area': '3.15 m x 3.15 m', 'Primary Bedroom': '5.45 m x 4.8 m', 'Bedroom 2': '4.7 m x 3.1 m', 'Office': 'Measurements not available'}}"
#606 -300 BALLIOL ST,"Toronto, Ontario M4S3G6",23790906,C5420731,SingleFamily,548800.0,,Apartment,,1,1.0,SchoolBus,"Park,PublicTransit",,,,,,VisitorParking,,,,,,,,,"Storage-Locker,PartyRoom,ExerciseCentre",,,no,,,,yes,32,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Mount Pleasant West,Condominium/Strata,"$1,912.47 (CAD)",Visitor Parking,19 days,1.0,1,Balcony,"Storage - Locker, Party Room, Exercise Centre",Central air conditioning,Heat Pump (Electric),Brick,,School Bus,"Park, Public Transit",$375 (CAD) Monthly,Goldview Property Management Ltd. 416-630-1234,,"{'Main level': {'Living room': '5.18 m x 3.05 m', 'Kitchen': '3.05 m x 2.03 m', 'Dining room': '5.18 m x 3.05 m', 'Bedroom': '3.61 m x 2.69 m', 'Bathroom': 'Measurements not available', 'Laundry room': 'Measurements not available', 'Other': 'Measurements not available'}}"
#1207 -5 PARKWAY FOREST DR,"Toronto, Ontario M2J1L2",23834601,C5435290,SingleFamily,549000.0,,Apartment,,1,3.0,,,,,,,,Underground,,,,,,,,,,,,no,,,,yes,30,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Henry Farm,Condominium/Strata,"$1,313.68 (CAD)",Underground,4 days,2.0,1,Balcony,,Window air conditioner,Baseboard heaters (Electric),Brick,,,,$674.85 (CAD) Monthly,Tech Lasi Management Service Tel 416-491-4441,1.0,"{'Main level': {'Living room': '6.02 m x 3.17 m', 'Dining room': '2.74 m x 2.68 m', 'Kitchen': '3.33 m x 2.28 m', 'Den': '4.28 m x 2.7 m', 'Primary Bedroom': '4.27 m x 3.13 m', 'Bedroom 2': '4.18 m x 2.59 m'}}"
#404 -55 WELLESLEY ST E,"Toronto, Ontario M4Y2T6",23788958,C5419896,SingleFamily,939000.0,,Apartment,,2,2.0,,,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,CarWash,PartyRoom",,,no,,,,yes,27,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$3,207.82 (CAD)","Underground, Visitor Parking",20 days,2.0,2,Balcony,"Storage - Locker, Car Wash, Party Room",Central air conditioning,Heat Pump (Electric),Brick,,,,"$1,252.96 (CAD) Monthly",Community First Developments. Comfield Management Services,2.0,"{'Main level': {'Foyer': '2.5 m x 1.7 m', 'Living room': '6.3 m x 6 m', 'Dining room': '6.3 m x 6 m', 'Kitchen': '3.8 m x 2.4 m', 'Eating area': '3.3 m x 2.4 m', 'Bedroom': '3.5 m x 3.1 m'}}"
#1707 -375 KING  ST W,"Toronto, Ontario M5V1K1",23801653,C5424009,SingleFamily,849000.0,,Apartment,,2,2.0,,,,,,,,Underground,,,,,,,,,"Security/Concierge,Sauna,ExerciseCentre,RecreationCentre",,,no,,,,yes,29,Video,Matterport,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$3,250.59 (CAD)",Underground,16 days,2.0,2,Balcony,"Security/Concierge, Sauna, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,,$594.63 (CAD) Monthly,Crossbridge Condominium Services - 416-979-0009,,"{'Other': {'Living room': '7.2 m x 3.7 m', 'Dining room': '7.2 m x 3.7 m', 'Kitchen': '2.8 m x 2.1 m', 'Primary Bedroom': '3.4 m x 2.4 m', 'Bedroom 2': '3 m x 2.7 m'}}"
#4506 -295 ADELAIDE ST W,"Toronto, Ontario M5V0L4",23831231,C5434307,SingleFamily,749000.0,,Apartment,,1,2.0,,PublicTransit,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre,RecreationCentre",,,no,,,,yes,28,Video,Youtube,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$2,712.90 (CAD)","Underground, Visitor Parking",5 days,1.0,1,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,Public Transit,$429.60 (CAD) Monthly,Del Property Management,,"{'Flat': {'Living room': '6 m x 3 m', 'Kitchen': '2 m x 2.3 m', 'Bedroom': '2.75 m x 3.4 m', 'Den': '3 m x 2.25 m'}}"
#202 -50 FOREST MANOR RD,"Toronto, Ontario M2J0E3",23833730,C5435176,SingleFamily,699800.0,,Apartment,,2,2.0,,,,,,,,Underground,,,,,,,,,"Storage-Locker,PartyRoom,Sauna,ExerciseCentre,RecreationCentre",,,no,,,,yes,22,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Henry Farm,Condominium/Strata,"$2,501 (CAD)",Underground,4 days,2.0,2,Balcony,"Storage - Locker, Party Room, Sauna, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,,$579.40 (CAD) Monthly,Del Property Management,1.0,"{'Main level': {'Living room': 'Measurements not available', 'Dining room': 'Measurements not available', 'Kitchen': 'Measurements not available', 'Primary Bedroom': 'Measurements not available', 'Bedroom 2': 'Measurements not available'}}"
#710 -251 JARVIS ST,"Toronto, Ontario M5B0C3",23760197,C5410529,SingleFamily,449900.0,,Apartment,,1,0.0,,,,,,,,Underground,,,,,,,,,,,,no,,,,yes,20,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$1,264.79 (CAD)",Underground,31 days,,1,Balcony,,Central air conditioning,Forced air (Natural gas),Concrete,,,,$263.35 (CAD) Monthly,First Service Residential,,"{'Flat': {'Living room': '4.15 m x 3.69 m', 'Dining room': '4.15 m x 3.69 m', 'Kitchen': '4.15 m x 3.69 m'}}"
#607 -120 HARRISON GARDEN BLVD,"Toronto, Ontario M2N0H1",23754231,C5408335,SingleFamily,618800.0,,Apartment,,1,2.0,,"Hospital,Park,PublicTransit,Schools",,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,Sauna,ExerciseCentre",,,no,,,,yes,26,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Willowdale East,Condominium/Strata,"$2,444.35 (CAD)",Underground,32 days,1.0,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Sauna, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Hospital, Park, Public Transit, Schools",$487.31 (CAD) Monthly,Del Property Management,1.0,"{'Main level': {'Living room': '6.25 m x 3.05 m', 'Dining room': '6.25 m x 3.05 m', 'Kitchen': '2.74 m x 2.49 m', 'Primary Bedroom': '3.05 m x 3.05 m', 'Den': '3.17 m x 2.13 m'}}"
#405 -375 KING ST W,"Toronto, Ontario M5V1K5",23840478,C5437471,SingleFamily,576988.0,,Apartment,,1,1.0,,"Park,PublicTransit",,,,,,Underground,,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,10,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$2,400 (CAD)",Underground,2 days,1.0,1,Balcony,"Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,,,"Park, Public Transit",$413.38 (CAD) Monthly,Icon Property Management,,"{'Flat': {'Living room': '6.67 m x 2.64 m', 'Dining room': '6.67 m x 2.64 m', 'Kitchen': '1.52 m x 4.93 m', 'Primary Bedroom': '3.04 m x 2.43 m'}}"
